id,name,min_far,max_height,min_front_setback,side_setback,rear_setback,city,max_far,max_front_setback,min_dua,max_dua,coverage,max_du_per_parcel,min_lot_size,id_class,city_name
2528,INDG,,60.0,20.0,0.0,0.0,5,0.45,,,,,,20000.0,2528,
2529,INDLT,,60.0,25.0,0.0,0.0,5,0.45,,,,,,10000.0,2529,
2530,INDR,,60.0,15.0,0.0,0.0,5,0.45,,,,,,20000.0,2530,
2531,OSHF,,,,,,5,,,,,,,,2531,
2532,OSHIL,,,,,,5,,,,,,,,2532,
2533,OSI,,,,,,5,,,,,,,,2533,
2534,OSOS,,,,,,5,,,,,,,,2534,
2535,OSP,,,,,,5,,,,,,,,2535,
2536,AG,,,,,,5,,,,,,,,2536,
2537,OSVL1,,,,,,5,,,,,,,,2537,
2538,OSVL1,,,,,,5,,,,,,,,2538,
2539,OSVL2,,,,,,5,,,,,,,,2539,
2540,PF,,45.0,20.0,20.0,20.0,5,1.5,,,,,,,2540,
2601,607 - Single Family Residential,,,,,,6,,,,8.0,,,,2601,
2602,607 - Two Family Residential,,,,,,6,,,,10.0,,,,2602,
2603,607 - Townhouse Residential,,,,,,6,,,,15.0,,,,2603,
2604,607 - Condominium Residential,,,,,,6,,,,35.0,,,,2604,
2605,607 - Apartment Residential,,,,,,6,,,,35.0,,,,2605,
2606,607 - Town Center Commercial,,,,,,6,2.0,,,,,,,2606,
2608,607 - Neighborhood Commercial,,,,,,6,0.3,,,35.0,,,,2608,
2610,607 - Service Commercial,,,,,,6,0.98,,,,,,,2610,
2612,607 - Light Industrial,,,,,,6,0.6,,,,,,,2612,
2613,607 - Research/Office Park,,,,,,6,1.0,,,,,,,2613,
2614,607 - Elementary School,,,,,,6,,,,,,,,2614,
2615,607 - Open Space,,,,,,6,,,,,,,,2615,
2616,607 - Parks,,,,,,6,,,,,,,,2616,
2617,607 - Public/Semi Public,,,,,,6,1.5,,,,,,,2617,
2618,607 - Water,,,,,,6,,,,,,,,2618,
2701,608 - Low Density Residential,,28.0,20.0,5.0,20.0,7,0.5,,,8.7,50.0,,,2701,
2702,608 - Medium Density Residential,,28.0,20.0,5.0,20.0,7,0.5,,,8.7,50.0,,,2702,
2703,608 - High Density Residential,,40.0,20.0,5.0,20.0,7,,,,29.0,50.0,,,2703,
2705,608 - Commercial Recreation,,28.0,20.0,5.0,5.0,7,0.5,,,,50.0,,5000.0,2705,
2706,608 - General Commercial,,36.0,25.0,10.0,10.0,7,3.0,,,75.0,,,10000.0,2706,
2707,608 - Visitor Serving Commercial,,28.0,20.0,10.0,10.0,7,0.5,,,75.0,50.0,,10000.0,2707,
2708,608 - Public Facilities and Institutions,,50.0,20.0,,,7,3.0,,,8.7,,,,2708,
2709,608 - Light Industrial,,40.0,,5.0,,7,1.5,,,4.35,,,10000.0,2709,
2710,608 - Urban Reserve,,28.0,25.0,25.0,25.0,7,,,,0.07,,,,2710,
2711,608 - Open Space Reserve,,28.0,25.0,25.0,25.0,7,,,,0.02,,,,2711,
2712,608 - Regional Public Recreation,,16.0,,,,7,,,,,,,,2712,
2713,608 - Greenbelt - Stream Corridor,,16.0,,,,7,,,,,,,,2713,
2714,608 - Horticultural Business,,35.0,50.0,20.0,25.0,7,,,,5.0,,,,2714,
2715,608 - Planned Development District,,,,,,7,3.0,,,75.0,,,,2715,
2801,801 - Residential - Low Density,,,,,,8,,,,7.0,,,,2801,
2802,801 - Residential - Medium Density,,,,,,8,,,,14.0,,,,2802,
2803,801 - Residential - High Density,,,,,,8,,,,21.0,,,,2803,
2804,801 - Commercial - Downtown,,,,,,8,2.4,,,50.0,,,,2804,
2805,801 - Commercial - General,,,,,,8,1.2,,,,,,,2805,
2806,801 - Commercial - Community,,,,,,8,1.2,,,,,,,2806,
2807,801 - Commercial - Business and Professional,,,,,,8,1.2,,,50.0,,,,2807,
2808,801 - Commercial - Waterfront,,,,,,8,1.2,,,50.0,,,,2808,
2809,801 - Industrial - General,,,,,,8,0.7,,,,,,,2809,
2810,801 - Industrial - Limited,,,,,,8,0.7,,,,,,,2810,
2811,801 - Industrial - Waterfront,,,,,,8,0.7,,,,,,,2811,
2812,801 - Mixed Use - Downtown,,,,,,8,2.0,,,50.0,,,,2812,
2813,801 - Mixed Use - Lower Arsenal,,,,,,8,2.0,,,50.0,,,,2813,
2814,801 - Public and Quasi-Public,,,,,,8,1.2,,,,,,,2814,
2815,801 - Open Space - General,,,,,,8,,,,,,,,2815,
2816,801 - Open Space - Parks,,,,,,8,,,,,,,,2816,
2902,802 - Low Density Residential,,,,,,9,,,,6.2,,,,2902,
2903,802 - Medium-Low Density Residential,,,,,,9,,,,14.5,,,,2903,
2904,802 - Medium-High Density Residential,,,,,,9,,,,21.8,,,,2904,
2907,802 - Downtown Commercial,,50.0,,,,9,3.0,,,,,,,2907,
2908,802 - Neighborhood Commercial,,20.0,,,,9,0.8,,,,,,,2908,
2909,802 - Community Commercial,,,,,,9,0.8,,,,,,,2909,
2910,802 - Highway Commercial,,40.0,,,,9,0.8,,,,,,,2910,
2911,802 - Services Commercial,,40.0,,,,9,0.8,,,,,,,2911,
2912,802 - Professional/Administrative Office,,30.0,,,,9,1.2,,,,40.0,,,2912,
2913,802 - Core Area Mixed Use,,,,,,9,1.75,,,,,,,2913,
2914,802 - General Industrial,,40.0,,,,9,1.6,,,,40.0,,,2914,
2915,802 - Planned Business/Industrial,,40.0,,,,9,1.6,,,,40.0,,,2915,
2916,802 - Industrial Employment Center,,40.0,,,,9,1.6,,,,40.0,,,2916,
2917,802 - Planned Business/Industrial/Service Commercial,,40.0,,,,9,1.6,,,,40.0,,,2917,
2918,802 - Services Commercial/Professional/Administrative Offices,,30.0,,,,9,1.2,,,,40.0,,,2918,
2919,802 - Highway Commercial/Professional/Administrative Offices,,30.0,,,,9,1.2,,,,40.0,,,2919,
2920,802 - Governmental/Institutional,,,,,,9,1.0,,,,,,,2920,
2921,802 - Parks,,,,,,9,,,,,,,,2921,
2922,802 - School Buildings/Play Areas,,,,,,9,,,,,,,,2922,
3001,AI,,,,,,10,,,,,,,,3001,
3002,AE,,,,,,10,,,,,,,,3002,
3003,OSR,,,,,,10,,,,,,,,3003,
3004,OSC,,,,,,10,,,,,,,,3004,
3005,RVL,,35.0,25.0,10.0,30.0,10,,,,2.5,,,15000.0,3005,
3006,RL,,35.0,15.0,5.0,20.0,10,,,,4.5,,,8000.0,3006,
3007,RLM,,35.0,15.0,5.0,20.0,10,,,,8.0,,,4500.0,3007,
3008,RM,,35.0,5.0,5.0,15.0,10,,,,15.0,50.0,,3000.0,3008,
3009,RH,,45.0,15.0,15.0,15.0,10,,,,22.0,,,,3009,
3010,RVH,,45.0,15.0,15.0,15.0,10,,,,32.0,,,,3010,
3011,CN,,35.0,25.0,10.0,10.0,10,0.4,,,50.0,,,,3011,
3012,CC,,45.0,15.0,10.0,10.0,10,0.5,,,32.0,,,,3012,
3013,CC,,45.0,0.0,0.0,10.0,10,1.5,,,32.0,,,,3013,
3014,CS,,35.0,15.0,0.0,0.0,10,0.5,,,,,,,3014,
3015,CHR,,55.0,25.0,10.0,10.0,10,1.0,,,,,,,3015,
3016,CO,,45.0,20.0,10.0,10.0,10,1.0,,,50.0,,,,3016,
3017,IBP,,50.0,25.0,0.0,20.0,10,1.0,,,,,,,3017,
3019,IL,,50.0,20.0,0.0,15.0,10,0.6,,,,,,,3019,
3020,IG,,50.0,25.0,0.0,20.0,10,0.6,,,,,,,3020,
3022,PF,,,,,,10,,,,,,,,3022,
3023,MU,,41.0,16.0,8.0,10.0,10,0.655555555,,,30.0,,,,3023,
3024,Residential Low Density,,35.0,15.0,5.0,20.0,10,,,4.0,10.0,,,,3024,
3025,Residential Low Medium Density,,35.0,5.0,5.0,15.0,10,,,4.0,20.0,,,,3025,
3026,Residential Medium Density,,35.0,5.0,5.0,15.0,10,,,10.0,20.0,,,,3026,
3027,Residential High Density,,45.0,15.0,15.0,15.0,10,,,20.0,50.0,,,,3027,
3031,Industrial/Employment,0.25,50.0,20.0,0.0,15.0,10,0.6,,,,,,,3031,
3032,Existing Warehouse,0.25,50.0,20.0,0.0,15.0,10,0.6,,,,,,,3032,
3034,Park,,,,,,10,,,,,,,,3034,
3035,Open Space Mitigation Bank,,,,,,10,,,,,,,,3035,
3036,Town Center Mixed Use 1,0.2,45.0,15.0,10.0,10.0,10,0.85,,20.0,50.0,,,,3036,
3037,Town Center Mixed Use 2,0.2,35.0,25.0,10.0,10.0,10,0.4,,4.0,50.0,,,,3037,
3038,Train Station,,,,,,10,,,,,,,,3038,
3042,Open Space,,,,,,10,,,,,,,,3042,
3101,RR,,35.0,35.0,20.0,30.0,11,0.4,,,0.2,,,1306800.0,3101,
3102,LDR,,35.0,20.0,5.0,20.0,11,0.4,,,4.0,,,6000.0,3102,
3103,MDR,,35.0,20.0,5.0,20.0,11,0.4,,,8.0,,,6000.0,3103,
3104,HDR,,35.0,20.0,5.0,20.0,11,0.4,,,16.0,,,10000.0,3104,
3105,OR,,35.0,20.0,5.0,15.0,11,0.8,,,20.0,60.0,,6000.0,3105,
3106,DTC,,40.0,0.0,0.0,0.0,11,3.0,,,20.0,100.0,,,3106,
3107,DTS,,35.0,0.0,0.0,0.0,11,3.0,,,,100.0,,,3107,
3108,GC,,35.0,15.0,0.0,10.0,11,1.0,,,20.0,60.0,,6000.0,3108,
3109,SC,,35.0,20.0,0.0,20.0,11,1.0,,,,60.0,,6000.0,3109,
3110,DSC,,,,,,11,1.0,,,2.0,,,,3110,
3111,TOD,,40.0,15.0,10.0,10.0,11,1.0,,,20.0,,,,3111,
3112,GI,,50.0,15.0,0.0,10.0,11,0.6,,,,60.0,,10000.0,3112,
3113,BP,,50.0,15.0,0.0,10.0,11,0.6,,,,60.0,,20000.0,3113,
3114,P,,,,,,11,1.0,,,,,,,3114,
3115,CF,,,,,,11,,,,0.00625,,,,3115,
3201,902 - Rural Residential,,35.0,25.0,20.0,20.0,12,,,,1.0,20.0,,43560.0,3201,
3202,902 - Low Density Residential,,28.0,25.0,20.0,20.0,12,,,,2.0,40.0,,21780.0,3202,
3203,902 - Low-Medium Density Residential,,28.0,20.0,10.0,20.0,12,1.75,,,6.0,45.0,,6000.0,3203,
3204,902 - Medium Density Residential,,28.0,5.0,10.0,20.0,12,1.75,,,10.0,45.0,,5000.0,3204,
3205,902 - High Density Residential,,28.0,15.0,15.0,15.0,12,1.75,,,15.0,50.0,,3500.0,3205,
3206,902 - General Commercial,,50.0,0.0,10.0,10.0,12,1.75,,,15.0,80.0,,2000.0,3206,
3207,902 - Highway Commercial,,50.0,0.0,0.0,10.0,12,1.75,,,15.0,80.0,,10000.0,3207,
3208,902 - Office Commercial,,28.0,10.0,10.0,20.0,12,1.75,,,15.0,80.0,,6000.0,3208,
3209,902 - General Industrial,,40.0,20.0,0.0,30.0,12,1.0,,,,80.0,,10000.0,3209,
3210,902 - Commercial Industrial,,40.0,10.0,20.0,30.0,12,1.75,,,15.0,80.0,,10000.0,3210,
3211,902 - Parks,,,,,,12,,,,,,,,3211,
3212,902 - Public Facilities,,,,,,12,1.0,,,,,,,3212,
3301,VLR,,35.0,30.0,10.0,30.0,13,,,,1.0,25.0,,40000.0,3301,
3302,LR,,35.0,30.0,10.0,30.0,13,,,,3.0,25.0,,20000.0,3302,
3303,MR,,35.0,25.0,10.0,25.0,13,,,,6.0,30.0,,12500.0,3303,
3304,MHR,,35.0,20.0,10.0,20.0,13,,,,10.0,35.0,,6000.0,3304,
3305,HR,,35.0,10.0,10.0,0.0,13,,,,20.0,50.0,,3500.0,3305,
3306,DR,,35.0,20.0,10.0,20.0,13,,,,8.0,40.0,,6000.0,3306,
3307,GMU,,35.0,30.0,10.0,25.0,13,1.0,,,7.0,30.0,,12500.0,3307,
3308,MUPD,,50.0,,0.0,0.0,13,1.0,,,16.0,60.0,,20000.0,3308,
3309,O/HR,,45.0,20.0,10.0,20.0,13,0.5,,,16.0,50.0,,6000.0,3309,
3310,DC,,50.0,0.0,0.0,0.0,13,3.0,,,16.0,100.0,,,3310,
3311,SC,,50.0,0.0,0.0,10.0,13,0.8,,,16.0,60.0,,10000.0,3311,
3312,MO,,45.0,20.0,10.0,20.0,13,0.5,,,,50.0,,6000.0,3312,
3313,I,,50.0,15.0,15.0,10.0,13,0.5,,,16.0,,,20000.0,3313,
3314,PQP,,35.0,,,,13,1.0,,,,,,,3314,
3315,OS,,,,,,13,0.0,,,0.2,,,,3315,
3401,RR,,25.0,40.0,20.0,40.0,14,,,,0.6,,,21780.0,3401,
3402,R VL,,25.0,30.0,15.0,30.0,14,,,,2.5,,,,3402,
3403,RL,,25.0,20.0,5.0,20.0,14,,,,8.0,,,,3403,
3404,R DIV LOW,,25.0,15.0,3.0,15.0,14,,,,12.0,,,,3404,
3405,RM,,35.0,10.0,0.0,10.0,14,1.75,,,18.0,,,,3405,
3406,RH,,45.0,0.0,0.0,0.0,14,1.75,,,30.0,,,,3406,
3407,MH,,25.0,10.0,0.0,10.0,14,,,,18.0,,,,3407,
3408,NC,,30.0,0.0,0.0,0.0,14,0.8,,,,,,,3408,
3409,CC,,40.0,0.0,0.0,0.0,14,1.2,,,,,,,3409,
3410,MU,,45.0,0.0,0.0,0.0,14,2.5,,,30.0,,,,3410,
3411,BP,,40.0,0.0,0.0,0.0,14,3.0,,,,,,,3411,
3412,I,,40.0,0.0,0.0,0.0,14,0.6,,,,,,,3412,
3413,AG,,25.0,,,,14,,,,,,,,3413,
3414,AG S,,40.0,0.0,0.0,0.0,14,1.0,,,,,,,3414,
3415,RDI,,40.0,0.0,0.0,0.0,14,1.0,,,,,,,3415,
3416,P S-P,,25.0,,,,14,1.0,,,,,,,3416,
3417,ED,,25.0,,,,14,,,,,,,,3417,
3418,PARK,,0.0,,,,14,0.0,,,,,,,3418,
3419,CO PARK,,0.0,,,,14,0.0,,,,,,,3419,
3420,PROP PARK,,0.0,,,,14,0.0,,,,,,,3420,
3421,OS,,0.0,,,,14,0.0,,,,,,,3421,
3422,FW,,0.0,,,,14,0.0,,,,,,,3422,
3502,R-E,,35.0,25.0,10.0,25.0,15,,,,2.0,40.0,,17000.0,3502,
3503,R-L,,35.0,20.0,5.0,20.0,15,0.4,,,6.0,50.0,,5000.0,3503,
3504,R-M,,35.0,20.0,5.0,20.0,15,0.55,,,12.0,40.0,,3700.0,3504,
3505,R-H,,45.0,20.0,5.0,20.0,15,1.15,,,30.0,40.0,,10000.0,3505,
3506,C-O,,45.0,15.0,10.0,10.0,15,1.0,,,,50.0,,10000.0,3506,
3507,C-N,,35.0,15.0,10.0,10.0,15,0.4,,,,60.0,,10000.0,3507,
3508,C-R,,65.0,15.0,10.0,10.0,15,1.5,,,,60.0,,20000.0,3508,
3509,M-U,,45.0,10.0,10.0,10.0,15,2.0,,,50.0,80.0,,10000.0,3509,
3510,C-R/R-H,,65.0,15.0,5.0,10.0,15,1.5,,,50.0,60.0,,10000.0,3510,
3511,I-L,,45.0,15.0,10.0,10.0,15,1.0,,,,60.0,,20000.0,3511,
3512,P-I,,45.0,15.0,10.0,10.0,15,1.0,,,,50.0,,10000.0,3512,
3513,OS-ARM,,35.0,,20.0,,15,,,,1.0,,,,3513,
3514,OS-EC,,35.0,,20.0,,15,,,,,,,,3514,
3515,REC,,35.0,,,,15,,,,,,,,3515,
3601,Country Residential,,35.0,20.0,5.0,20.0,16,3.0,,,0.2,40.0,,,3601,
3602,Very Low Residential,,35.0,20.0,5.0,20.0,16,3.0,,,2.0,40.0,,,3602,
3603,Low/Open Space,,35.0,20.0,10.0,20.0,16,3.0,,,8.0,40.0,,,3603,
3604,Low Residential,,35.0,20.0,10.0,20.0,16,3.0,,,8.0,40.0,,,3604,
3605,Med-Low Residential,,35.0,15.0,5.0,15.0,16,3.0,,,13.0,40.0,,,3605,
